TIME,BTCBUSD
2021-03-03 00:18:25,48155.8
2021-03-03 00:18:26,48155.67
2021-03-03 00:18:27,48155.67
2021-03-03 00:18:28,48155.67
2021-03-03 00:18:29,48155.67
2021-03-03 00:18:30,48155.67
2021-03-03 00:18:31,48155.67
2021-03-03 00:18:32,48155.67
2021-03-03 00:18:33,48150.0
2021-03-03 00:18:34,48149.96
2021-03-03 00:18:35,48134.13
2021-03-03 00:18:36,48130.55
2021-03-03 00:18:37,48133.86
2021-03-03 00:18:38,48133.86
2021-03-03 00:18:39,48139.28
2021-03-03 00:18:40,48134.43
2021-03-03 00:18:41,48132.05
2021-03-03 00:18:42,48132.05
2021-03-03 00:18:43,48132.05
2021-03-03 00:18:44,48132.05
2021-03-03 00:18:45,48132.05
2021-03-03 00:18:46,48132.05
2021-03-03 00:18:47,48132.05
2021-03-03 00:18:48,48132.05
2021-03-03 00:18:49,48132.05
2021-03-03 00:18:50,48132.06
2021-03-03 00:18:51,48132.06
2021-03-03 00:18:52,48132.06
2021-03-03 00:18:53,48132.06
2021-03-03 00:18:54,48132.06
2021-03-03 00:18:55,48132.06
2021-03-03 00:18:56,48132.06
2021-03-03 00:18:57,48132.06
2021-03-03 00:18:58,48132.06
2021-03-03 00:18:59,48132.06
2021-03-03 00:19:00,48124.94
2021-03-03 00:19:01,48122.44
2021-03-03 00:19:02,48122.44
2021-03-03 00:19:03,48122.45
2021-03-03 00:19:04,48122.45
2021-03-03 00:19:05,48122.44
2021-03-03 00:19:06,48122.45
2021-03-03 00:19:07,48102.04
2021-03-03 00:19:08,48079.09
2021-03-03 00:19:09,48079.16
2021-03-03 00:19:10,48083.49
2021-03-03 00:19:11,48083.5
2021-03-03 00:19:12,48083.49
2021-03-03 00:19:13,48083.5
2021-03-03 00:19:14,48083.5
2021-03-03 00:19:15,48085.37
2021-03-03 00:19:16,48080.45
2021-03-03 00:19:17,48093.0
2021-03-03 00:19:18,48116.55
2021-03-03 00:19:19,48123.8
2021-03-03 00:19:20,48121.89
2021-03-03 00:19:21,48121.87
2021-03-03 00:19:22,48119.28
2021-03-03 00:19:23,48126.22
2021-03-03 00:19:24,48119.73
2021-03-03 00:19:25,48111.81
2021-03-03 00:19:26,48114.67
2021-03-03 00:19:27,48114.67
2021-03-03 00:19:28,48115.24
2021-03-03 00:19:29,48115.24
2021-03-03 00:19:30,48105.89
2021-03-03 00:19:31,48093.19
2021-03-03 00:19:32,48093.18
2021-03-03 00:19:33,48095.06
2021-03-03 00:19:34,48090.21
2021-03-03 00:19:35,48090.21
2021-03-03 00:19:36,48090.25
2021-03-03 00:19:37,48087.3
2021-03-03 00:19:38,48087.3
2021-03-03 00:19:39,48089.94
2021-03-03 00:19:40,48085.08
2021-03-03 00:19:41,48084.8
2021-03-03 00:19:42,48075.93
2021-03-03 00:19:43,48075.93
2021-03-03 00:19:44,48075.93
2021-03-03 00:19:45,48077.3
2021-03-03 00:19:46,48077.3
2021-03-03 00:19:47,48078.95
2021-03-03 00:19:48,48074.8
2021-03-03 00:19:49,48073.48
2021-03-03 00:19:50,48062.62
2021-03-03 00:19:51,48062.64
2021-03-03 00:19:52,48062.63
